service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
20141S-vs20141S-Weekday-23,1,1,1,1,1,0,0,20130917,20130920
20141S-vs20141S-Weekday-23-1111000,1,1,1,1,0,0,0,20130917,20130920
20141S-vs20141S-Saturday-06,0,0,0,0,0,1,0,20130921,20131130
20141S-vs20141S-Sunday-02,0,0,0,0,0,0,1,20130922,20131201
20141S-vs20141S-Weekday-25,1,1,1,1,1,0,0,20130923,20130925
20141S-vs20141S-Weekday-25-1111000,1,1,1,1,0,0,0,20130923,20130925
20141S-vs20141S-Weekday-24,1,1,1,1,1,0,0,20130926,20131204
20141S-vs20141S-Weekday-24-1010100,1,0,1,0,1,0,0,20130926,20131204
20141S-vs20141S-Weekday-24-0101000,0,1,0,1,0,0,0,20130926,20131204
20141S-vs20141S-Weekday-24-1111000,1,1,1,1,0,0,0,20130926,20131204
20141S-vs20141S-Weekday-27,1,1,1,1,1,0,0,20131101,20131127
20141S-vs20141S-Weekday-27-1010100,1,0,1,0,1,0,0,20131101,20131127
20141S-vs20141S-Weekday-27-0101000,0,1,0,1,0,0,0,20131101,20131127
20141S-vs20141S-Weekday-27-1111000,1,1,1,1,0,0,0,20131101,20131127
20141S-vs20141S-Weekday-28,1,1,1,1,1,0,0,20131111,20131111
20141S-vs20141S-Weekday-28-1111000,1,1,1,1,0,0,0,20131111,20131111
20141S-20141S-Sunday-02,0,0,0,0,0,0,1,20131128,20131128
20141S-vs20141S-Sunday-01,0,0,0,0,0,0,1,20131129,20131129
