service_id,date,exception_type
20141S-vs20141S-Weekday-24,20131101,2
20141S-vs20141S-Weekday-24-1010100,20131101,2
20141S-vs20141S-Weekday-24-0101000,20131101,2
20141S-vs20141S-Weekday-24-1111000,20131101,2
20141S-vs20141S-Weekday-24,20131111,2
20141S-vs20141S-Weekday-24-1010100,20131111,2
20141S-vs20141S-Weekday-24-0101000,20131111,2
20141S-vs20141S-Weekday-24-1111000,20131111,2
20141S-vs20141S-Weekday-24,20131127,2
20141S-vs20141S-Weekday-24-1010100,20131127,2
20141S-vs20141S-Weekday-24-0101000,20131127,2
20141S-vs20141S-Weekday-24-1111000,20131127,2
20141S-vs20141S-Weekday-24,20131128,2
20141S-vs20141S-Weekday-24-1010100,20131128,2
20141S-vs20141S-Weekday-24-0101000,20131128,2
20141S-vs20141S-Weekday-24-1111000,20131128,2
20141S-vs20141S-Weekday-24,20131129,2
20141S-vs20141S-Weekday-24-1010100,20131129,2
20141S-vs20141S-Weekday-24-0101000,20131129,2
20141S-vs20141S-Weekday-24-1111000,20131129,2
20141S-vs20141S-Weekday-27,20131104,2
20141S-vs20141S-Weekday-27-1010100,20131104,2
20141S-vs20141S-Weekday-27-0101000,20131104,2
20141S-vs20141S-Weekday-27-1111000,20131104,2
20141S-vs20141S-Weekday-27,20131105,2
20141S-vs20141S-Weekday-27-1010100,20131105,2
20141S-vs20141S-Weekday-27-0101000,20131105,2
20141S-vs20141S-Weekday-27-1111000,20131105,2
20141S-vs20141S-Weekday-27,20131106,2
20141S-vs20141S-Weekday-27-1010100,20131106,2
20141S-vs20141S-Weekday-27-0101000,20131106,2
20141S-vs20141S-Weekday-27-1111000,20131106,2
20141S-vs20141S-Weekday-27,20131107,2
20141S-vs20141S-Weekday-27-1010100,20131107,2
20141S-vs20141S-Weekday-27-0101000,20131107,2
20141S-vs20141S-Weekday-27-1111000,20131107,2
20141S-vs20141S-Weekday-27,20131108,2
20141S-vs20141S-Weekday-27-1010100,20131108,2
20141S-vs20141S-Weekday-27-0101000,20131108,2
20141S-vs20141S-Weekday-27-1111000,20131108,2
20141S-vs20141S-Weekday-27,20131111,2
20141S-vs20141S-Weekday-27-1010100,20131111,2
20141S-vs20141S-Weekday-27-0101000,20131111,2
20141S-vs20141S-Weekday-27-1111000,20131111,2
20141S-vs20141S-Weekday-27,20131112,2
20141S-vs20141S-Weekday-27-1010100,20131112,2
20141S-vs20141S-Weekday-27-0101000,20131112,2
20141S-vs20141S-Weekday-27-1111000,20131112,2
20141S-vs20141S-Weekday-27,20131113,2
20141S-vs20141S-Weekday-27-1010100,20131113,2
20141S-vs20141S-Weekday-27-0101000,20131113,2
20141S-vs20141S-Weekday-27-1111000,20131113,2
20141S-vs20141S-Weekday-27,20131114,2
20141S-vs20141S-Weekday-27-1010100,20131114,2
20141S-vs20141S-Weekday-27-0101000,20131114,2
20141S-vs20141S-Weekday-27-1111000,20131114,2
20141S-vs20141S-Weekday-27,20131115,2
20141S-vs20141S-Weekday-27-1010100,20131115,2
20141S-vs20141S-Weekday-27-0101000,20131115,2
20141S-vs20141S-Weekday-27-1111000,20131115,2
20141S-vs20141S-Weekday-27,20131118,2
20141S-vs20141S-Weekday-27-1010100,20131118,2
20141S-vs20141S-Weekday-27-0101000,20131118,2
20141S-vs20141S-Weekday-27-1111000,20131118,2
20141S-vs20141S-Weekday-27,20131119,2
20141S-vs20141S-Weekday-27-1010100,20131119,2
20141S-vs20141S-Weekday-27-0101000,20131119,2
20141S-vs20141S-Weekday-27-1111000,20131119,2
20141S-vs20141S-Weekday-27,20131120,2
20141S-vs20141S-Weekday-27-1010100,20131120,2
20141S-vs20141S-Weekday-27-0101000,20131120,2
20141S-vs20141S-Weekday-27-1111000,20131120,2
20141S-vs20141S-Weekday-27,20131121,2
20141S-vs20141S-Weekday-27-1010100,20131121,2
20141S-vs20141S-Weekday-27-0101000,20131121,2
20141S-vs20141S-Weekday-27-1111000,20131121,2
20141S-vs20141S-Weekday-27,20131122,2
20141S-vs20141S-Weekday-27-1010100,20131122,2
20141S-vs20141S-Weekday-27-0101000,20131122,2
20141S-vs20141S-Weekday-27-1111000,20131122,2
20141S-vs20141S-Weekday-27,20131125,2
20141S-vs20141S-Weekday-27-1010100,20131125,2
20141S-vs20141S-Weekday-27-0101000,20131125,2
20141S-vs20141S-Weekday-27-1111000,20131125,2
20141S-vs20141S-Weekday-27,20131126,2
20141S-vs20141S-Weekday-27-1010100,20131126,2
20141S-vs20141S-Weekday-27-0101000,20131126,2
20141S-vs20141S-Weekday-27-1111000,20131126,2
20141S-20141S-Sunday-02,20131128,1
20141S-vs20141S-Sunday-01,20131129,1
