route_id,service_id,trip_id,trip_headsign,block_id,shape_id
17-89,20141S-20141S-Sunday-02,2725851-20141S-20141S-Sunday-02,"17 - San Jose via SVTC",474853,170024
17-89,20141S-20141S-Sunday-02,2725852-20141S-20141S-Sunday-02,"17 - Santa Cruz Metro",474853,170033
17-89,20141S-20141S-Sunday-02,2725853-20141S-20141S-Sunday-02,"17 - San Jose via SVTC",474853,170024
17-89,20141S-20141S-Sunday-02,2725854-20141S-20141S-Sunday-02,"17 - Santa Cruz Metro",474853,170033
17-89,20141S-20141S-Sunday-02,2725855-20141S-20141S-Sunday-02,"17 - San Jose",474854,170025
17-89,20141S-20141S-Sunday-02,2725856-20141S-20141S-Sunday-02,"17 - Santa Cruz Metro via SVTC",474854,170032
17-89,20141S-20141S-Sunday-02,2725857-20141S-20141S-Sunday-02,"17 - San Jose",474854,170025
17-89,20141S-20141S-Sunday-02,2725858-20141S-20141S-Sunday-02,"17 - Santa Cruz Metro via SVTC",474854,170032
17-89,20141S-20141S-Sunday-02,2725859-20141S-20141S-Sunday-02,"17 - San Jose",474853,170025
17-89,20141S-20141S-Sunday-02,2725860-20141S-20141S-Sunday-02,"17 - Santa Cruz Metro",474853,170033
17-89,20141S-20141S-Sunday-02,2725861-20141S-20141S-Sunday-02,"17 - San Jose via SVTC",474855,170024
17-89,20141S-20141S-Sunday-02,2725862-20141S-20141S-Sunday-02,"17 - Santa Cruz Metro",474855,170033
17-89,20141S-20141S-Sunday-02,2725863-20141S-20141S-Sunday-02,"17 - San Jose via SVTC",474854,170024
17-89,20141S-20141S-Sunday-02,2725864-20141S-20141S-Sunday-02,"17 - Santa Cruz Metro via SVTC",474854,170032
17-89,20141S-20141S-Sunday-02,2725865-20141S-20141S-Sunday-02,"17 - San Jose",474853,170025
17-89,20141S-20141S-Sunday-02,2725866-20141S-20141S-Sunday-02,"17 - Santa Cruz Metro",474853,170033
17-89,20141S-20141S-Sunday-02,2725867-20141S-20141S-Sunday-02,"17 - San Jose via SVTC",474855,170024
17-89,20141S-20141S-Sunday-02,2725868-20141S-20141S-Sunday-02,"17 - Santa Cruz Metro via SVTC",474855,170032
